"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
118882-00,"2022/01/27 22:00:00","Intel(R) Server System R1304WFTZSR, PCN 118882-00, Label, Power Supply (PSU) Label Update",Label,"Machine, Material","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118883-00,"2022/01/27 22:00:00","Intel(R) RAID Controller AXM2RAID2T, PCN 118883-00, Product Discontinuance, End of Life","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118870-00,"2022/01/24 22:00:00","Select Intel(R) Stratix(R) 10 devices, PCN 118870-00, Documentation, Datasheet Update",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
118879-00,"2022/01/24 22:00:00","Intel(R) Server Chassis H2224XXLR3,, PCN 118879-00, Product Design, Gasket implementation on 2.5"" Tool Less Carrier (TLC)","Product Design","Material, Method","Server Chassis","Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118869-00,"2022/01/21 22:00:00","\Select Intel(R) NUC 11 Performance Mini PC Intel(R) Core¬ i5,
Intel(R) NUC 11 Performance Mini PC Intel(R) Core¬ i7, 
Intel(R) NUC Kit,
, PCN 118869-00, Product Discontinuance, End Of Life","Product Discontinuance",,"Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118874-00,"2022/01/21 22:00:00","Intel(R) Server Board D40AMP1SB, Intel(R) Compute Module D40AMP1MHCPAC, Intel(R) Server Chassis VP3U2HAC21W0, Intel(R) Server Chassis VP3000 U.2 Hot Swap Backplane Assembly VP3U2HSBASSMBLF, PCN 118874-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118788-00,"2022/01/21 22:00:00","Select Intel(R) Dual Band Wireless-AC 8265, PCN 118788-00, Product Design, Label, Product Design and Label Update","Product Design","Material, Method","Wireless Products","Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118867-00,"2022/01/21 22:00:00","Select Intel(R) NUC 8 Pro Kit Products, PCN 118867-00, Product Discontinuance, End of Life","Product Discontinuance",,"Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118807-00,"2022/01/20 22:00:00","Intel(R) Wireless-AC 9260, 2230 SKUs, PCN 118807-00, Product Design, Label, Label and product design update","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118868-00,"2022/01/20 22:00:00","Intel(R) Server System M50CYP2UR208, PCN 118868-00, Label, UKCA and Canada Labeling update",Label,"Machine, Material","Server Boards and Platforms","Server Boards and Platforms, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118872-00,"2022/01/20 22:00:00","1300W AC CRPS 80+ Titanium efficiency power supply module AXX1300TCRPS,, PCN 118872-00, Label, Label Update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118865-00,"2022/01/18 22:00:00","Intel(R) Server Chassis H2204XXLRE, Single, PCN 118865-00, Label, Product Material, Regulatory label updates and adding packing list",Label,"Machine, Material","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118816-00,"2022/01/13 22:00:00","Select Intel(R) Dual Band Wireless-AC 9260 Embedded IoT Kit, No vPro(R)
Intel(R) Dual Band Wireless-AC 9260 Industrial IoT Kit, No vPro(R), Extended temp
Intel(R) Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, No vPro(R), Industrial, Extended temp
Intel(R) W","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118625-03,"2022/01/13 22:00:00","Select 2U Hot-swap 8x2.5inch SAS/NVMe Combo Drive Bay Kit A2U8X25S3PHS,
2U Rear Hot-swap Dual Drive Cage Upgrade Kit A2UREARHSDK2,
Intel(R) Server System R2208WFTZSR,
Intel(R) Server System R1208WFTYSR,
Intel(R) Server System R2208WF0ZSR,
Intel(R) Server","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118839-00,"2022/01/13 22:00:00","Select Intel(R) Dual Band Wireless-AC 8265, PCN 118839-00, Product Discontinuance, End of Life, Reason for Revision: Fix Notification Type.","Product Discontinuance",,"Networking Products, Wireless Products","Networking Products, Wireless Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118836-00,"2022/01/13 22:00:00","Select Intel(R) Dual Band Wireless-AC 8265, PCN 118836-00, Product Discontinuance, End of Life, Reason for Revision: Fix Notification Type.","Product Discontinuance",,"Networking Products, Wireless Products","Networking Products, Wireless Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118818-00,"2022/01/12 22:00:00","Select Intel(R) Wireless-AC 9462 and Intel(R) Wireless-AC9461, PCN 118818-00, Product Design, Label, Label and product design update","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118827-00,"2022/01/12 22:00:00","Select Intel(R) Ethernet Controller X710-BM2,
Intel(R) Ethernet Controller XL710-BM1, 
Intel(R) Ethernet Controller XL710-BM2
, PCN 118827-00, Product Material, Qualifying Second Source Substrate Supplier","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118857-00,"2022/01/12 22:00:00","Intel(R) 82599EB 10 Gigabit Ethernet Controller Product Code JL82599EB, 
MM# 934915 (Tray)
Intel(R) 82599ES 10 Gigabit Ethernet Controller Product Code JL82599ES, 
MM# 934599 (Tape & Reel)
Intel(R) 82599ES 10 Gigabit Ethernet Controller Product Code JL825","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118853-00,"2022/01/11 22:00:00","Intel(R) Wireless-AC 9560, 1216, 2x2 AC+BT, No vPro(R)
Intel(R) Wireless-AC 9560, 1216, 2x2 AC+BT, Gigabit, No vPro(R)
Intel(R) Wireless-AC 9560, 1216, 2x2 AC+BT, Gigabit, vPro(R), PCN 118853-00, Product Design, Label, HW configuration bitmap and label up","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118845-00,"2022/01/11 22:00:00","Select Intel(R) Wireless-AC 9260, 1216 SKUS, PCN 118845-00, Label, Product Design, Label and Product design change",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118826-00,"2022/01/11 22:00:00","Server System R2312WFTZSR and Intel(R) Server System R2308WFTZSR, PCN 118826-00, Label, Label Update",Label,"Machine, Material","Server Boards and Platforms","Server Boards and Platforms, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118851-00,"2022/01/11 22:00:00","Select Intel(R) Wireless-AC 9560, 2230, SKUS, PCN 118851-00, Product Design, Label, HW bitmap and label updates","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118859-00,"2022/01/11 22:00:00","Intel(R) Server Chassis, PCN 118859-00, Label, UKCA and Canada Labeling update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118834-00,"2022/01/10 22:00:00","Intel(R) Ethernet Network Adapter XXV710-DA2T
Product Code: XXV710DA2TLG1P5, MM#999MC7, PCN 118834-00, Product Discontinuance, End of Life","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118825-00,"2022/01/10 22:00:00","Select Intel(R) Wireless-AC 9462, 2230, 1x1 AC+BT, No vPro(R), Diversity Antenna 
Intel(R) Wireless-AC 9461, 2230, 1x1 AC+BT, No vPro(R), Single Antenna, PCN 118825-00, Product Design, Label, HW bitmap and label updates","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118835-00,"2022/01/10 22:00:00","Intel(R) Server System M50CYP1UR204 and Intel(R) Server System M50CYP2UR312, PCN 118835-00, Product Design, Label, Switch change and Label Update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118793-00,"2022/01/07 22:00:00","Intel(R) Wireless-AC8265 2230 SKUs, PCN 118793-00, Product Design, Label, Update to the HW configuration bitmap + Tracking Rev# Change","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118828-00,"2022/01/07 22:00:00","Intel(R) Server Chassis R2000WFXXX, PCN 118828-00, Label, Updates to Regulatory & Packaging Labels",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118830-00,"2022/01/07 22:00:00","Trusted Platform Module 2.0 AXXTPMCHNE8, Single, PCN 118830-00, Product Design, FirmwareUpdate","Product Design","Material, Method","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118822-00,"2022/01/07 22:00:00","Select Intel(R) NUC Rugged Chassis Element CMCR1ABC and Intel(R) NUC Rugged Board Element CMB1ABC, PCN 118822-00, Product Design, Label, Product Material, Firmware, Label and Box Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Customers to place future orders using new order code, see details in PCN."
